headword	CEFR
ability	A2
abroad	A2
accept	A2
acceptable	A2
accident	A2
account	A2
achieve	A2
across	A2
across	A2
act	A2
actually	A2
addition	A2
additional	A2
adjective	A2
adjust	A2
admire	A2
admit	A2
adult	A2
adult	A2
advanced	A2
advantage	A2
adventure	A2
advertisement	A2
advertising	A2
advice	A2
advise	A2
affair	A2
after	A2
against	A2
aged	A2
agency	A2
agent	A2
ahead	A2
air	A2
aisle	A2
alarm	A2
alarm clock	A2
alive	A2
all	A2
allow	A2
alone	A2
along	A2
alright	A2
alright	A2
although	A2
ambition	A2
among	A2
amused	A2
amusement	A2
ancestor	A2
ancient	A2
angel	A2
angrily	A2
ankle	A2
anniversary	A2
annoy	A2
annoying	A2
another	A2
anxious	A2
anymore	A2
anyway	A2
anywhere	A2
apart	A2
apartment	A2
apologize/apologise	A2
apparently	A2
appear	A2
appearance	A2
apply	A2
appointment	A2
appreciate	A2
appropriate	A2
architecture	A2
area	A2
argue	A2
argument	A2
armchair	A2
armed	A2
around	A2
artificial	A2
as	A2
asleep	A2
assistant	A2
association	A2
astronaut	A2
athlete	A2
atom	A2
attack	A2
attack	A2
attempt	A2
attention	A2
attitude	A2
attractive	A2
audience	A2
audio	A2
author	A2
automatic	A2
automatically	A2
average	A2
average	A2
avoid	A2
award	A2
awful	A2
back	A2
background	A2
badly	A2
badminton	A2
bake	A2
balcony	A2
balloon	A2
bank	A2
banking	A2
barbecue	A2
barber	A2
bargain	A2
base	A2
basic	A2
basically	A2
basket	A2
batch	A2
battery	A2
bay	A2
bear	A2
beauty	A2
been	A2
beer	A2
before	A2
beg	A2
beginner	A2
beginning	A2
behavior/behaviour	A2
being	A2
belly	A2
belong	A2
belt	A2
bench	A2
bend	A2
besides	A2
better	A2
beyond	A2
bill	A2
bit	A2
bite	A2
blackboard	A2
blame	A2
blanket	A2
blonde	A2
blood	A2
bloom	A2
blow	A2
board game	A2
boil	A2
boiled	A2
bonus	A2
bookcase	A2
bookshelf	A2
bookshop	A2
bored	A2
boss	A2
bother	A2
bra	A2
brainstorm	A2
brake	A2
branch	A2
brand	A2
brave	A2
break	A2
breeze	A2
bride	A2
brilliant	A2
brown	A2
budget	A2
bug	A2
bulb	A2
burn	A2
bury	A2
bus station	A2
bus stop	A2
bush	A2
businessman	A2
businesswoman	A2
cab	A2
cafeteria	A2
calendar	A2
call	A2
camp	A2
camping	A2
campus	A2
can	A2
capital	A2
capital letter	A2
captain	A2
car park	A2
carrot	A2
cash	A2
cassette	A2
castle	A2
cause	A2
cent	A2
center/centre	A2
centimeter/centimetre	A2
century	A2
cereal	A2
certain	A2
certainly	A2
chain	A2
chairman	A2
challenge	A2
champagne	A2
championship	A2
chance	A2
chapter	A2
chart	A2
chat	A2
cheap	A2
check	A2
cheek	A2
cheer	A2
chef	A2
chemical	A2
cheque	A2
chess	A2
chest	A2
childhood	A2
chili/chilli	A2
chimpanzee	A2
chin	A2
chirp	A2
choice	A2
cigarette	A2
citizen	A2
claim	A2
classic	A2
classical music	A2
cleaner	A2
clear	A2
clearly	A2
clerk	A2
click	A2
climb	A2
climbing	A2
clone	A2
clown	A2
clue	A2
coast	A2
coin	A2
cola	A2
colorful/colourful	A2
column	A2
comb	A2
comfortable	A2
comic	A2
comic	A2
commitment	A2
committee	A2
common	A2
communicate	A2
communication	A2
company	A2
comparative	A2
compare	A2
competition	A2
complain	A2
complaint	A2
complete	A2
composer	A2
concentrate	A2
concern	A2
condition	A2
confident	A2
confuse	A2
confused	A2
consequence	A2
consider	A2
consist	A2
contact	A2
contact	A2
container	A2
context	A2
continent	A2
continue	A2
contrast	A2
control	A2
convenience	A2
convenient	A2
cooker	A2
cooking	A2
cooler	A2
copy	A2
correctly	A2
cost	A2
cost	A2
count	A2
country	A2
countryside	A2
couple	A2
court	A2
cover	A2
crazy	A2
cream	A2
create	A2
creative	A2
creativity	A2
creature	A2
credit	A2
cricket	A2
crime	A2
crisp	A2
criticize/criticise	A2
cross	A2
cross	A2
crowd	A2
crowded	A2
crown	A2
cruise	A2
cry	A2
cupboard	A2
curry	A2
curse	A2
custom	A2
customer	A2
cycling	A2
daily	A2
daily	A2
dam	A2
dancer	A2
danger	A2
dangerous	A2
daylight	A2
dead	A2
deal	A2
death	A2
debate	A2
decide	A2
deep	A2
deeply	A2
degree	A2
delay	A2
dentist	A2
department store	A2
depend	A2
description	A2
desert	A2
dessert	A2
destroy	A2
detail	A2
develop	A2
developed	A2
diamond	A2
diary	A2
die	A2
diet	A2
differently	A2
difficulty	A2
digital camera	A2
dinosaur	A2
direct	A2
direction	A2
director	A2
disadvantage	A2
disagree	A2
disappear	A2
disappointed	A2
disappointing	A2
disco	A2
discover	A2
discussion	A2
dishonest	A2
dislike	A2
display	A2
disturb	A2
divide	A2
dizzy	A2
done	A2
double	A2
doubt	A2
down	A2
download	A2
downstairs	A2
downtown	A2
draw	A2
drawer	A2
drawing	A2
dream	A2
dress	A2
dressed	A2
drill	A2
drive	A2
driver's license/driving licence	A2
drop	A2
drug	A2
drugstore	A2
dry	A2
duck	A2
during	A2
dust	A2
early	A2
earn	A2
earring	A2
earth	A2
earthquake	A2
easily	A2
east	A2
east	A2
east	A2
editor	A2
education	A2
educational	A2
effect	A2
effort	A2
either	A2
elderly	A2
electric	A2
elephant	A2
elevator	A2
elsewhere	A2
email	A2
embarrassing	A2
emergency	A2
empty	A2
encourage	A2
end	A2
endangered	A2
ending	A2
energetic	A2
enormous	A2
enough	A2
enough	A2
enough	A2
enter	A2
entertainment	A2
entrance	A2
envelope	A2
envy	A2
episode	A2
error	A2
escalator	A2
escape	A2
especially	A2
essay	A2
establish	A2
euro	A2
even	A2
ever	A2
evidence	A2
exactly	A2
exam	A2
except	A2
except	A2
exchange	A2
exercise	A2
exhibition	A2
exist	A2
expect	A2
experience	A2
expert	A2
explain	A2
explanation	A2
explore	A2
express	A2
expression	A2
extra	A2
extra	A2
extremely	A2
face	A2
fact	A2
fail	A2
fairly	A2
fall	A2
familiar	A2
fancy	A2
fantastic	A2
far	A2
fare	A2
fascinating	A2
fashion	A2
fast food	A2
fault	A2
favor/favour	A2
fear	A2
feather	A2
feature	A2
fee	A2
feel	A2
female	A2
fence	A2
few	A2
fiction	A2
fighter	A2
figure	A2
figure	A2
film	A2
final	A2
final	A2
finally	A2
first name	A2
fisherman	A2
fit	A2
fix	A2
flea	A2
flight	A2
float	A2
flood	A2
flour	A2
fog	A2
folder	A2
follow	A2
fool	A2
footballer	A2
for	A2
forbid	A2
force	A2
forest	A2
forever	A2
fork	A2
fortunately	A2
fortune	A2
forward	A2
frame	A2
frank	A2
free	A2
freedom	A2
freeze	A2
fresh	A2
fridge	A2
fried	A2
friendship	A2
frighten	A2
frightened	A2
frightening	A2
front	A2
fry	A2
fully	A2
function	A2
