headword	CEFR
abandon	B1
able	B1
abnormal	B1
aboard	B1
aborigine	B1
above	B1
absence	B1
absent	B1
absolute	B1
absolutely	B1
absorb	B1
abstract	B1
abundance	B1
abundant	B1
academic	B1
academy	B1
accent	B1
acceptance	B1
access	B1
accessible	B1
accessory	B1
accidental	B1
accidentally	B1
accompany	B1
accomplish	B1
according to	B1
account	B1
accountant	B1
accuracy	B1
accurate	B1
accurately	B1
accuse	B1
accustom	B1
ache	B1
achievement	B1
acknowledge	B1
acknowledgment/acknowledgement	B1
acquaintance	B1
acquire	B1
act	B1
active	B1
actress	B1
ad	B1
adapt	B1
address	B1
addressee	B1
administration	B1
admiration	B1
admission	B1
adopt	B1
adorable	B1
advance	B1
adverb	B1
adverbial	B1
advert	B1
advertise	B1
adviser/advisor	B1
aerobics	B1
affect	B1
affection	B1
afford	B1
after	B1
afterward	B1
afterwards	B1
agenda	B1
aggressive	B1
agreement	B1
agricultural	B1
agriculture	B1
aid	B1
aid	B1
aim	B1
air conditioning	B1
air force	B1
airline	B1
alarm	B1
alcohol	B1
alcoholic	B1
alike	B1
alike	B1
allergic	B1
allowance	B1
aloud	B1
alphabet	B1
alternative	B1
alternative	B1
altogether	B1
amazed	B1
amazing	B1
ambitious	B1
ambulance	B1
amount	B1
amusing	B1
analysis	B1
analyze/analyse	B1
anger	B1
angle	B1
animated	B1
animation	B1
announce	B1
announcement	B1
annoyance	B1
annoyed	B1
annual	B1
annually	B1
ant	B1
anti	B1
antique	B1
antonym	B1
anxiety	B1
anxiously	B1
anyhow	B1
ape	B1
apology	B1
apparent	B1
appeal	B1
appetite	B1
applaud	B1
applause	B1
application	B1
appoint	B1
appreciation	B1
approach	B1
approval	B1
approve	B1
approximately	B1
architect	B1
arise	B1
arithmetic	B1
arm	B1
army	B1
arrange	B1
arrangement	B1
arrest	B1
arrest	B1
arrival	B1
arrow	B1
artist	B1
artistic	B1
ashamed	B1
aside	B1
aspect	B1
aspirin	B1
assign	B1
assignment	B1
assist	B1
assistance	B1
assistant	B1
associate	B1
assume	B1
astronomer	B1
athletic	B1
Atlantic	B1
atmosphere	B1
atomic	B1
attach	B1
attachment	B1
attain	B1
attempt	B1
attend	B1
attract	B1
attraction	B1
authority	B1
auxiliary	B1
available	B1
avenue	B1
award	B1
aware	B1
awareness	B1
awesome	B1
awkward	B1
babysit	B1
babysitter	B1
back	B1
backache	B1
backpack	B1
backpacker	B1
backpacking	B1
bacon	B1
baggage	B1
baker	B1
bakery	B1
balance	B1
bald	B1
bandage	B1
bang	B1
bang	B1
bank account	B1
bar	B1
barbecue	B1
bare	B1
barely	B1
bark	B1
barman	B1
barrel	B1
base	B1
basement	B1
basin	B1
basis	B1
bat	B1
bathe	B1
battle	B1
beard	B1
beast	B1
beat	B1
beautifully	B1
beaver	B1
because of	B1
bedside	B1
behalf	B1
behave	B1
belief	B1
beloved	B1
beneath	B1
benefit	B1
bent	B1
besides	B1
bet	B1
bilingual	B1
bill	B1
bin	B1
biochemistry	B1
biography	B1
biology	B1
bishop	B1
bite	B1
bitter	B1
blame	B1
bleed	B1
blend	B1
bless	B1
blessing	B1
blind	B1
block	B1
blog	B1
blogger	B1
blush	B1
board	B1
boast	B1
bold	B1
boldly	B1
bomb	B1
bomb	B1
bond	B1
book	B1
booking	B1
boom	B1
boot	B1
border	B1
bore	B1
boredom	B1
bother	B1
bounce	B1
bound	B1
bow	B1
bowl	B1
boxing	B1
bracelet	B1
brainstorming	B1
branch	B1
brand-new	B1
brass	B1
bravely	B1
breakthrough	B1
breast	B1
breath	B1
breathless	B1
breed	B1
breeding	B1
brick	B1
brief	B1
briefly	B1
brightly	B1
broad	B1
broadcast	B1
broccoli	B1
bronze	B1
brotherhood	B1
bubble	B1
buddy	B1
builder	B1
bull	B1
bullet	B1
bulletin	B1
bump	B1
bunch	B1
burden	B1
bureau	B1
burglar	B1
burn	B1
burning	B1
burst	B1
bust	B1
but	B1
butcher	B1
buyer	B1
cabbage	B1
cabin	B1
cage	B1
calculate	B1
calculation	B1
calculator	B1
calf	B1
caller	B1
calm	B1
calmness	B1
camel	B1
campsite	B1
canal	B1
cancel	B1
cancer	B1
candle	B1
canned	B1
canteen	B1
capable	B1
capacity	B1
capsule	B1
capture	B1
capture	B1
care	B1
career	B1
careless	B1
carelessly	B1
carelessness	B1
carpet	B1
carriage	B1
carton	B1
cashpoint	B1
casual	B1
categorize/categorise	B1
category	B1
cattle	B1
caution	B1
cautious	B1
cave	B1
CD-ROM	B1
celebrity	B1
cell	B1
central	B1
central heating	B1
ceremony	B1
certainty	B1
challenging	B1
champion	B1
channel	B1
chaos	B1
characteristic	B1
characterize/characterise	B1
charge	B1
charge	B1
chariot	B1
charity	B1
charm	B1
chase	B1
chat	B1
chat show	B1
check-in counter/check-in	B1
check-in desk/check-in	B1
checkout	B1
cheerful	B1
chemical	B1
chemist	B1
chemistry	B1
cherish	B1
chest of drawers	B1
chewing gum	B1
chief	B1
choir	B1
choke	B1
Christian	B1
chronological	B1
chuckle	B1
circle	B1
circular	B1
circus	B1
citizenship	B1
civil	B1
civilization/civilisation	B1
claim	B1
classical	B1
classify	B1
clear	B1
click	B1
cliff	B1
climate	B1
climber	B1
clinic	B1
clip	B1
closely	B1
coal	B1
coast	B1
coastal	B1
cod	B1
coffin	B1
collapse	B1
collar	B1
columnist	B1
combination	B1
combine	B1
comedian	B1
comedy	B1
comet	B1
comfort	B1
comma	B1
command	B1
comment	B1
commercial	B1
commit	B1
common sense	B1
commonly	B1
companion	B1
comparison	B1
compete	B1
competitive	B1
competitor	B1
complement	B1
complete	B1
completely	B1
complex	B1
complicate	B1
complicated	B1
compliment	B1
compose	B1
composition	B1
compound	B1
compromise	B1
concentration	B1
concept	B1
