Headword,CEFR,Turkish Meaning,Usable Verbs,Related Words
astronomy,B2,"Astronomi, gökbilim","explore, study","astronomer, astronomical"
athletics,B2,"Atletizm, spor","run, jump, compete","athlete, athletic"
attached,B2,"Bağlı, iliştirilmiş, düşkün","attach, connect, fix, join","attachment"
attainable,B2,"Ulaşılabilir, elde edilebilir","attain, achieve, reach","attainment"
attainment,B2,"Elde etme, erişim, kazanım","attain, achieve, acquire","attainable"
attendance,B2,"Katılım, mevcudiyet, devam","attend, participate, present","attendant"
attentive,B2,"İlgili, dikkatli, özenli","attend, listen, focus","attentively, attention"
attentively,B2,"Dikkatle, ilgiyle","listen, focus, watch","attentive"
attractiveness,B2,"Çekicilik, cazibe","attract, appeal, charm","attractive"
attribute,B2,"(Suçu/başarıyı birine) bağlamak, yormak, özellik","attribute, ascribe, credit, property","attribution"
atypical,B2,"Atipik, tipik olmayan, sıra dışı","differ, vary","typical"
aubergine,B2,"Patlıcan","grow, cook, eat","vegetable"
audit,B2,"Denetlemek, hesap kontrolü yapmak","audit, inspect, check, examine","auditor, auditing"
audition,B2,"Seçmelere katılmak, ses/oyun denemesi","audition, test, tryout, perform","audition"
authoritative,B2,"Otoriter, yetkili, güvenilir","authorize, command, rule","authority, authorize"
authorize/authorise,B2,"Yetkilendirmek, izin vermek","authorize, empower, permit, approve","authorization, authoritative"
availability,B2,"Bulunabilirlik, kullanılabilirlik, müsaitlik","avail, provide, access","available"
await,B2,"Beklemek","await, wait, expect","waiting"
awe,B2,"Hayranlık ve korku karışımı duygu, dehşetle karışık hayranlık","marvel, admire, wonder","awesome"
ax/axe,B2,"Balta, baltayla kesmek","chop, cut, hack","cutting"
axis,B2,"Eksen","rotate, revolve","axial"
backup,B2,"Yedeklemek, yedek, destek","backup, support, copy, save","back"
backward/backwards,B2,"Geriye doğru, geri","turn, move, regress","forward"
backyard,B2,"Arka bahçe","play, garden, grow","yard"
badge,B2,"Rozet, simge","wear, identify, show","symbol"
bad-tempered,B2,"Huzursuz, huysuz, öfkeli","anger, irritate, annoy","temper"
balance,B2,"Dengelemek, denge","balance, stabilize, weigh, equal","balanced"
balanced,B2,"Dengeli","balance, stabilize, adjust","balance"
balky,B2,"İnatçı, dik başlı, huysuz","resist, refuse, stop","stubborn"
ballad,B2,"Halk şarkısı, balad","sing, compose, play","song"
ballet,B2,"Bale","dance, perform, practice","dancer"
ballot,B2,"Oy pusulası, oylama, seçim","vote, elect, choose","poll"
ban,B2,"Yasaklamak, yasak","ban, prohibit, forbid, restrict","banned"
banker,B2,"Bankacı","bank, finance, manage","banking"
bankrupt,B2,"İflas etmiş, batık","fail, collapse, ruin","bankruptcy"
bankruptcy,B2,"İflas, batma","fail, collapse, ruin","bankrupt"
barbershop,B2,"Berber dükkanı","shave, cut, trim","barber"
bare,B2,"Çıplak, yalın, örtüsüz","expose, uncover, strip","barely"
bargain,B2,"Pazarlık etmek, ucuz şey","bargain, negotiate, deal, trade","bargaining"
bark,B2,"Havlamak, kabuk","bark, shout, yell, peel","barking"
barley,B2,"Arpa","grow, harvest, feed","grain"
barn,B2,"Ahır, ambar","store, shelter, house","farm"
barometer,B2,"Barometre, gösterge","measure, indicate","weather"
barren,B2,"Kıraç, verimsiz, çorak","fail, sterilize, dry","infertile"
barrier,B2,"Bariyer, engel, set","block, hinder, obstruct, stop","barricade"
bartender,B2,"Barmen, barmeyd","serve, pour, mix","bar"
bathhouse,B2,"Hamam, kaplıca","wash, bathe, relax","bath"
battlefield,B2,"Savaş alanı","fight, combat, clash","battle"
beagle,B2,"Av köpeği, beagle","hunt, sniff, run","dog"
beak,B2,"Gaga","peck, bite, eat","bird"
beam,B2,"Işın saçmak, kiriş, gülümsemek","beam, shine, smile, radiate","bright"
bearing,B2,"Tavır, yön, dayanak","bear, carry, hold, behave","bear"
beat,B2,"Yenmek, vurmak, dayak atmak","beat, hit, strike, defeat","beating"
beautify,B2,"Güzelleştirmek","beautify, adorn, decorate, enhance","beauty"
bellow,B2,"Kükremek, bağırmak","bellow, roar, shout, scream","cry"
belongings,B2,"Eşyalar, ait olanlar","belong, own, possess, pack","property"
bend,B2,"Bükmek, eğilmek, kıvrılmak","bend, curve, flex, twist","bent"
beneficial,B2,"Faydalı, yararlı","benefit, help, profit, advantage","benefit"
benefit,B2,"Faydalanmak, yarar, çıkar","benefit, help, profit, gain","beneficial"
benevolence,B2,"Hayırseverlik, iyilikseverlik","help, care, give","benevolent"
benevolent,B2,"Hayırsever, iyiliksever","help, care, support","benevolence"
berry,B2,"Üzümsü meyve, çilek türü","pick, eat, grow","fruit"
bestow,B2,"Bahşetmek, vermek, lütfetmek","bestow, give, grant, confer","gift"
bestseller,B2,"Çok satan kitap/ürün","sell, write, publish","sale"
betray,B2,"İhanet etmek, ele vermek","betray, deceive, cheat, expose","betrayal"
bewilder,B2,"Şaşırtmak, aklını karıştırmak","bewilder, confuse, puzzle, shock","bewilderment"
bewilderment,B2,"Şaşkınlık, şaşırma","bewilder, confuse, shock","bewildered"
bid,B2,"Teklif vermek, fiyat artırmak","bid, offer, propose, tender","bidding"
bidding,B2,"Emir, teklif","bid, order, ask","bid"
bikini,B2,"Bikini","swim, wear, relax"," swimsuit"
billion,B2,"Milyar","count, calculate, fund","wealth"
bind,B2,"Bağlamak, sarmak, birleştirmek","bind, tie, fasten, connect","binding"
bio,B2,"Biyografi, biyo","write, study, tell","biology"
biological,B2,"Biyolojik","study, grow, live","biology"
biotechnology,B2,"Biyoteknoloji","research, develop, innovate","technology"
birdcage,B2,"Kuş kafesi","keep, trap, house","cage"
birthplace,B2,"Doğum yeri","be born, grow, start","origin"
bitterly,B2,"Acı bir şekilde, şiddetle","cry, regret, complain","bitter"
bizarre,B2,"Tuhaf, acayip, garip","surprise, shock, amaze","odd"
blade,B2,"Bıçak ağzı, kesici kenar, yaprak","cut, slice, shave","knife"
blast,B2,"Patlatmak, patlama","blast, explode, blow, burst","explosion"
blaze,B2,"Alev, parlamak","blaze, burn, flare, glow","flame"
blend,B2,"Karıştırmak, harmanlamak","blend, mix, combine, merge","mixture"
blindly,B2,"Körlemesine, körü körüne","follow, obey, trust","blind"
blindness,B2,"Körlük, görme engeli","blind, lose","blind"
blink,B2,"Göz kırpmak","blink, wink, close","eye"
bloodstream,B2,"Kan dolaşımı","flow, circulate, carry","blood"
bloody,B2,"Kanlı, şiddetli","bleed, hurt, wound","blood"
blooming,B2,"Çiçek açan, gelişen","bloom, flower, grow, thrive","blossom"
blossom,B2,"Çiçek açmak, çiçek","blossom, bloom, grow, flourish","flower"
blur,B2,"Bulanıklaştırmak, bulanıklık","blur, obscure, fade, cloud","blurry"
blurt,B2,"Ağzından kaçırmak","blurt, speak, reveal, slip","say"
blush,B2,"Yüzü kızarmak, kızarma","blush, redden, flush, glow","red"
boiling,B2,"Kaynayan, kaynar","boil, heat, cook","hot"
bold,B2,"Cesur, koyu (yazı)","dare, risk, stand","boldness"
bolt,B2,"Cıvata, sürgü, fırlamak","bolt, lock, run, fasten","fastener"
bombard,B2,"Bomba yağdırmak, bombardıman etmek","bombard, attack, shell, pelt","bombardment"
bomber,B2,"Bombardıman uçağı, bombalayıcı","bomb, attack, fly","bombing"
bombing,B2,"Bombalama, saldırı","bomb, attack, destroy","bomber"
bony,B2,"Kemikli, çok zayıf","thin, starve, lean","bone"
bookish,B2,"Kitap kurdu, kitaba düşkün","read, study, learn","book"
booklet,B2,"Broşür, kitapçık","read, print, publish","book"
bookmark,B2,"Yer işareti, sayfa ayracı","save, mark, keep","page"
boost,B2,"Artırmak, yükseltmek, destek","boost, raise, increase, elevate","boost"
booth,B2,"Kabin, stand, kulübe","sit, stand, sell","stall"
bossy,B2,"Amir taslaklı, otoriter, patronluk taslayan","order, command, control","boss"
botany,B2,"Botanik, bitki bilimi","study, grow, research","plant"
bothered,B2,"Rahatsız olmuş, huzursuz","bother, annoy, worry, care","bother"
bothersome,B2,"Rahatsız edici, usandırıcı","bother, annoy, trouble","annoying"
bottle,B2,"Şişelemek, şişe","bottle, pack, store, fill","container"
bounce,B2,"Zıplamak, sektirmek","bounce, jump, rebound, hop","bouncy"
bourbon,B2,"Bourbon (viski türü)","drink, distil, age","whiskey"
bow,B2,"Eğilmek, selam vermek, yay","bow, bend, kneel, greet","arrow"
boxer,B2,"Boksör","fight, punch, train","boxing"
bracket,B2,"Parantez, köşeli ayraç","group, enclose, support","parenthesis"
brag,B2,"Övünmek, büyüklenmek","brag, boast, show off","pride"
brake,B2,"Fren yapmak, fren","brake, stop, slow, pause","braking"
bravery,B2,"Cesaret, yiğitlik","dare, face, fight","brave"
breakable,B2,"Kırılabilir","break, smash, crack","fragile"
breakdown,B2,"Arıza, çöküş, sinir krizi","fail, collapse, stop, analyze","failure"
breakup,B2,"Ayrılma, dağılma","split, separate, end, divorce","break"
