headword	CEFR
exude	C2
envisage	C2
headmistress	C2
mien	C2
timidity	C2
unravel	C2
concurrence	C2
unpromising	C2
teem	C2
marvel	C2
outpatient	C2
corpse	C2
apprentice	C2
constrained	C2
quirk	C2
indignant	C2
indignantly	C2
eccentricity	C2
locomotive	C2
locomotion	C2
individualism	C2
enthuse	C2
belligerent	C2
belligerence	C2
stoicism	C2
deliberate	C2
recluse	C2
reclusive	C2
metalled	C2
brief	C2
oblique	C2
facsimile	C2
shamble	C2
whir	C2
blight	C2
blight	C2
puritanical	C2
brood	C2
brood	C2
disdainful	C2
zoologist	C2
zoology	C2
encumbrance	C2
encumber	C2
hypothesis	C2
hypothesize	C2
hypothetical	C2
parasitic	C2
plumage	C2
utilitarian	C2
utilize	C2
utility	C2
predilection	C2
commensurate	C2
commensurately	C2
vindicate	C2
vindication	C2
parable	C2
poise	C2
minster	C2
wrack	C2
ironic	C2
predecessor	C2
ally	C2
callous	C2
callously	C2
derelict	C2
derelict	C2
materialism	C2
materialistic	C2
ferocity	C2
utter	C2
utter	C2
evokingly	C2
recitation	C2
equable	C2
extant	C2
denounce	C2
denunciation	C2
echo	C2
echo	C2
echo	C2
requisition	C2
substantiate	C2
inscrutable	C2
stratosphere	C2
indulge	C2
indulgence	C2
indulgently	C2
laudatory	C2
laud	C2
glitz	C2
glitzy	C2
automate	C2
apprehend	C2
athleticism	C2
daunt	C2
daunting	C2
acreage	C2
affectation	C2
imposition	C2
circuit	C2
stipulate	C2
stipulation	C2
allot	C2
allotment	C2
anticlimactically	C2
forfeiture	C2
blitz	C2
blitz	C2
primeval	C2
tenacity	C2
tenacious	C2
tenaciously	C2
exact	C2
genomic	C2
genomically	C2
capacious	C2
utilitarian	C2
utilization/utilisation	C2
unequivocal	C2
unequivocally	C2
spontaneity	C2
provocation	C2
portraiture	C2
tedium	C2
succeed	C2
circumnavigate	C2
circumnavigation	C2
liaise	C2
contractual	C2
contractually	C2
repute	C2
abject	C2
sheaf	C2
articulation	C2
articulate	C2
spurious	C2
spuriously	C2
posture	C2
calorific	C2
fabulate	C2
fabulation	C2
octogenarian	C2
voracity	C2
brandish	C2
repose	C2
repose	C2
encumber	C2
encumbrance	C2
unencumbered	C2
buffoonery	C2
gauche	C2
domesticity	C2
accrue	C2
proliferation	C2
blandishment	C2
pluck	C2
anthropological	C2
anthropologically	C2
carbonize/carbonise	C2
monastic	C2
graft	C2
midwifery	C2
adornment	C2
adorn	C2
idle	C2
conjecture	C2
conjecture	C2
malleable	C2
malleability	C2
ore	C2
gale	C2
promenade	C2
testimonial	C2
distill	C2
distillation	C2
informant	C2
vis-a-vis	C2
overlay	C2
nostalgia	C2
nostalgic	C2
nostalgically	C2
grievance	C2
deprivation	C2
residue	C2
residual	C2
physiological	C2
physiologically	C2
familiarize/familiarise	C2
methodology	C2
methodological	C2
methodologically	C2
proportional	C2
proportionally	C2
habitation	C2
inartistic	C2
ornate	C2
modernism	C2
presuppose	C2
presupposition	C2
centralized/centralised	C2
envisage	C2
contextual	C2
contextually	C2
transmitter	C2
regulatory	C2
archival	C2
diffuse	C2
diffuse	C2
egalitarian	C2
egalitarian	C2
hindsight	C2
materialize/materialise	C2
materialization/materialisation	C2
disperse	C2
dispersal	C2
adverse	C2
adversely	C2
stabilize/stabilise	C2
pervasive	C2
pervasiveness	C2
secure	C2
autonomous	C2
autonomously	C2
outmoded	C2
phase	C2
plum	C2
notorious	C2
notoriously	C2
notoriety	C2
menial	C2
insular	C2
antidote	C2
posture	C2
postural	C2
posturing	C2
revelatory	C2
prostrate	C2
prostrate	C2
haphazard	C2
haphazardly	C2
deficient	C2
deficiently	C2
deficit	C2
delicatessen	C2
muscle-bound	C2
dive	C2
maneuver/manoeuvre	C2
maneuver/manoeuvre	C2
posit	C2
cocoon	C2
chrysalis	C2
ignominious	C2
ignominiously	C2
euphoria	C2
euphoric	C2
euphorically	C2
relegate	C2
succumb	C2
treacherous	C2
treacherously	C2
treachery	C2
maggot	C2
palate	C2
palatable	C2
hermit	C2
hermetic	C2
irrelevancy	C2
mariner	C2
rift	C2
mere	C2
helm	C2
autopilot	C2
eminence	C2
eminent	C2
preeminent	C2
mold/mould	C2
unsuspected	C2
abolish	C2
paralyze/paralyse	C2
paralysis	C2
paralyzingly/paralysingly	C2
glory in	C2
decentralize/decentralise	C2
preoccupation	C2
preoccupy	C2
prolong	C2
audit	C2
audit	C2
drudgery	C2
pressurize	C2
pressurization	C2
intermediary	C2
hotelier	C2
denote	C2
denotation	C2
profitability	C2
jargon	C2
declination	C2
vocational	C2
spatial	C2
spatially	C2
punctual	C2
punctuality	C2
integration	C2
curriculum	C2
extracurricular	C2
extracurricular	C2
encompass	C2
all-encompassing	C2
accountability	C2
frolic	C2
minefield	C2
side-step	C2
abundant	C2
abundantly	C2
abundance	C2
anarchic	C2
crystallize/crystallise	C2
crystallization/crystallisation	C2
prescriptive	C2
slab	C2
retrospect	C2
retrospective	C2
retrospection	C2
wordage	C2
brevity	C2
uncanny	C2
tactic	C2
tactical	C2
tactically	C2
tactile	C2
gambit	C2
babble	C2
bauble	C2
correlate	C2
correlation	C2
correlate	C2
combustion	C2
painstaking	C2
painstakingly	C2
contraption	C2
mesh	C2
enabler	C2
fluctuate	C2
fluctuation	C2
lyricist	C2
lyrical	C2
lyrically	C2
bona fide	C2
moribund	C2
perch	C2
perch	C2
perch	C2
solicit	C2
vocalist	C2
philanthropy	C2
philanthropist	C2
philanthropic	C2
philanthropically	C2
precocious	C2
precociously	C2
wordsmith	C2
connote	C2
connotation	C2
herald	C2
herald	C2
philistine	C2
innuendo	C2
induce	C2
inducement	C2
anthology	C2
lament	C2
lamentation	C2
conduit	C2
chronology	C2
chronological	C2
chronologically	C2
equilibrium	C2
rebound	C2
rebound	C2
proposition	C2
flagging	C2
electrode	C2
caffeinate	C2
cosmic	C2
interlude	C2
haven	C2
beneficiary	C2
recuperate	C2
recuperation	C2
recuperative	C2
cultish	C2
seismic	C2
irrevocably	C2
irrevocable	C2
slither	C2
unnerve	C2
unnerving	C2
unnervingly	C2
protrude	C2
protrusion	C2
qualitative	C2
procedural	C2
procedural	C2
demystify	C2
demystification	C2
proprietary	C2
proprietorial	C2
tantamount	C2
floodgates	C2
imperceptible	C2
imperceptibly	C2
hapless	C2
catastrophic	C2
catastrophically	C2
commission	C2
commission	C2
wayward	C2
blurb	C2
provincial	C2
indolent	C2
indolently	C2
indolence	C2
taste-maker	C2
deviant	C2
deviant	C2
deviantly	C2
engender	C2
emolument	C2
munificence	C2
posterity	C2
venomous	C2
venomously	C2
choreography	C2
choreographical	C2
archetype	C2
archetypal	C2
dissension	C2
exalted	C2
exaltedly	C2
adept	C2
adept	C2
inert	C2
hitherto	C2
angst	C2
angsty	C2
drabness	C2
melodious	C2
melodiously	C2
magpie	C2
lark	C2
lark	C2
melancholy	C2
melancholy	C2
meteorology	C2
meteorological	C2
brink	C2
unsurpassed	C2
loiter	C2
topple	C2
intrinsic	C2
intrinsically	C2
merit	C2
merit	C2
promotable	C2
clinch	C2
anonymity	C2
splinter	C2
reproach	C2
disseminate	C2
dissemination	C2
dissemble	C2
mangle	C2
bereft	C2
bereftly	C2
soliloquy	C2
solipsism	C2
soliloquize	C2
mutinous	C2
mutinously	C2
prissy	C2
reptilian	C2
diminish	C2
undiminishing	C2
contagion	C2
homestead	C2
computerize/computerise	C2
incumbent	C2
incumbent	C2
recumbent	C2
nonchalant	C2
nonchalantly	C2
mesmeric	C2
stultify	C2
stultifyingly	C2
wallow	C2
ponderous	C2
ponderously	C2
lassitude	C2
vicinity	C2
ebb	C2
wax	C2
wane	C2
antediluvian	C2
ostensible	C2
ostensibly	C2
interlocking	C2
plane	C2
undemonstrative	C2
undemonstratively	C2
menace	C2
menacing	C2
menacingly	C2
calamity	C2
calamitous	C2
calamitously	C2
nigh	C2
austere	C2
austerely	C2
austerity	C2
idiosyncrasy	C2
idiosyncratic	C2
idiomatic	C2
idiomatically	C2
kinetic	C2
kinetically	C2
unmediated	C2
mediate	C2
mediation	C2
unharried	C2
figurative	C2
figuratively	C2
exorcism	C2
exorcist	C2
mundanity	C2
mediocrity	C2
dubiously	C2
curate	C2
curator	C2
antithesis	C2
antithetical	C2
parameter	C2
detract	C2
interrogate	C2
interrogation	C2
interrogative	C2
interrogatively	C2
perverse	C2
perversity	C2
attainment	C2
opaque	C2
opacity	C2
remit	C2
remittance	C2
recourse	C2
pedestal	C2
pedestrian	C2
lurid	C2
luridly	C2
fallacy	C2
rife	C2
grumble	C2
mercenary	C2
polysyllabic	C2
syllabic	C2
superfluous	C2
superfluously	C2
snippet	C2
practitioner	C2
